SUB_CAUS-camp
Contexte Gauche;Occurrence_declencheur;Contexte Droit
PAR CES MOTIFS , et sans qu' il y ait lieu de statuer sur les autres griefs du pourvoi , la Cour : CASSE ET ANNULE , sauf en ce qu' il déclare recevables la saisine après cassation et le recours formé par la société [ 1 ] contre la décision de la caisse d' assurance retraite et de la santé au travail de la Normandie fixant son taux de cotisation;pour;"l' exercice 2014 au titre de l' assurance des accidents du travail et maladies professionnelles , l' arrêt rendu le 7 novembre 2019 , entre les parties , par la Cour nationale de l' incapacité et de la tarification de l' assurance des accidents Page 3 / 6 du travail ; DIT n' y avoir lieu à renvoi ;"
ORDONNE le retrait de l' accident mortel dont a été victime M. [ C ] de la période triennale 2010 - 2012 , correspondant à la période de référence;pour;"le calcul du taux de cotisations de l' année 2014 et dit que la caisse d' assurance retraite et de la santé au travail de la Normandie devra procéder à la rectification subséquente du taux de cotisations de l' année 2014 ;"
Dit que sur les diligences du procureur général près la Cour de cassation , le présent arrêt sera transmis;pour;"être transcrit en marge ou à la suite de l' arrêt partiellement cassé ;"
ANNEXE au présent arrêt Moyen produit par Me Haas , avocat aux Conseils ,;pour;la société [ 1 ]
Il est fait grief à l' arrêt attaqué D' AVOIR déclaré mal fondé le recours formé par la société [ 1 ] contre la décision de la Carsat de Normandie , fixant son taux de cotisation;pour;"l' exercice 2014 , au titre de l' assurance des accidents du travail et des maladies professionnelles , et D' AVOIR dit n' y avoir lieu de retirer le coût moyen d' incapacité permanente correspondant à l' accident du travail mortel de M. [ C ] , du compte employeur 2010 de la société [ 1 ] et de rectifier la valeur du risque de la période triennale de référence ;"
AUX MOTIFS QU' en l' espèce , le coeur du problème consiste à savoir;si;"les accidents du travail mortels pris en compte pour déterminer la valeur du risque , dans le cadre des opérations de tarification , sont ceux qui ont entraîné le décès de la victime au cours de la période de référence ou bien ceux dont le caractère professionnel a été reconnu au cours de la période de référence ;"
AUX MOTIFS QU' en l' espèce , le coeur du problème consiste à savoir si les accidents du travail mortels pris en compte;pour;"déterminer la valeur du risque , dans le cadre des opérations de tarification , sont ceux qui ont entraîné le décès de la victime au cours de la période de référence ou bien ceux dont le caractère professionnel a été reconnu au cours de la période de référence ;"
que cette formulation suggère qu' un accident du travail ayant entraîné le décès de la victime doit être pris en compte ,;pour;"déterminer la valeur du risque , l' année de sa survenance ;"
qu' ainsi , l' article D. 242 - 6 - 4 du code de la sécurité sociale , certes non applicable à la présente espèce;puisqu';"il traite du taux brut collectif , prévoit que « seules sont prises en compte dans la valeur du risque les dépenses liées aux accidents et aux maladies dont le caractère professionnel a été reconnu » ;"
que , de même , l' article D. 242 - 6 - 5 , également non applicable à la présente espèce;puisqu';"il traite de la valeur du risque pour le calcul du taux brut collectif , prévoit que la valeur du risque comprend « les capitaux correspondant aux accidents et maladies mortelles dont le caractère professionnel a été reconnu au cours de la ( ... ) période [ triennale de référence ] » ;"
que , de même , l' article D. 242 - 6 - 5 , également non applicable à la présente espèce puisqu' il traite de la valeur du risque;pour;"le calcul du taux brut collectif , prévoit que la valeur du risque comprend « les capitaux correspondant aux accidents et maladies mortelles dont le caractère professionnel a été reconnu au cours de la ( ... ) période [ triennale de référence ] » ;"
qu' il convient encore d' observer qu' une application de l' article D. 242 - 6 - 6 , 2 ° , du code de la sécurité sociale faisant prévaloir la lettre sur l' esprit , aboutirait à créer une dichotomie entre , d' une part , les accidents du travail et les maladies professionnelles non mortels ,;pour;"lesquels il faudrait se référer à la notification d' un taux d' incapacité permanente tant pour la prise en compte dans le cadre de la valeur du risque que pour le classement définitif dans l' une des catégories prévues , et d' autre part , les accidents du travail et maladies professionnelles mortels , qui seraient pris en compte l' année de leur survenance pour la valeur du risque mais classés dans l' une des catégories prévues l' année de la reconnaissance de leur caractère professionnel ;"
qu' il convient encore d' observer qu' une application de l' article D. 242 - 6 - 6 , 2 ° , du code de la sécurité sociale faisant prévaloir la lettre sur l' esprit , aboutirait à créer une dichotomie entre , d' une part , les accidents du travail et les maladies professionnelles non mortels , pour lesquels il faudrait se référer à la notification d' un taux d' incapacité permanente tant;pour;"la prise en compte dans le cadre de la valeur du risque que pour le classement définitif dans l' une des catégories prévues , et d' autre part , les accidents du travail et maladies professionnelles mortels , qui seraient pris en compte l' année de leur survenance pour la valeur du risque mais classés dans l' une des catégories prévues l' année de la reconnaissance de leur caractère professionnel ;"
qu' il convient encore d' observer qu' une application de l' article D. 242 - 6 - 6 , 2 ° , du code de la sécurité sociale faisant prévaloir la lettre sur l' esprit , aboutirait à créer une dichotomie entre , d' une part , les accidents du travail et les maladies professionnelles non mortels , pour lesquels il faudrait se référer à la notification d' un taux d' incapacité permanente tant pour la prise en compte dans le cadre de la valeur du risque que;pour;"le classement définitif dans l' une des catégories prévues , et d' autre part , les accidents du travail et maladies professionnelles mortels , qui seraient pris en compte l' année de leur survenance pour la valeur du risque mais classés dans l' une des catégories prévues l' année de la reconnaissance de leur caractère professionnel ;"
qu' il convient encore d' observer qu' une application de l' article D. 242 - 6 - 6 , 2 ° , du code de la sécurité sociale faisant prévaloir la lettre sur l' esprit , aboutirait à créer une dichotomie entre , d' une part , les accidents du travail et les maladies professionnelles non mortels , pour lesquels il faudrait se référer à la notification d' un taux d' incapacité permanente tant pour la prise en compte dans le cadre de la valeur du risque que pour le classement définitif dans l' une des catégories prévues , et d' autre part , les accidents du travail et maladies professionnelles mortels , qui seraient pris en compte l' année de leur survenance;pour;"la valeur du risque mais classés dans l' une des catégories prévues l' année de la reconnaissance de leur caractère professionnel ;"
qu' or , une telle solution serait évidemment source de complications ,;puisque;", d' une part , on voit mal comment elles en seraient averties et puisque , d' autre part , une éventuelle absence de reconnaissance de caractère professionnel les obligerait , au bout d' un certain temps , au demeurant fort variable , à faire machine arrière et à rectifier leurs calculs , ce qui serait à la fois facteur d' insécurité pour les entreprises et générateur de contentieux ;"
qu' or , une telle solution serait évidemment source de complications , puisque , d' une part , on voit mal comment elles en seraient averties et;puisque;", d' autre part , une éventuelle absence de reconnaissance de caractère professionnel les obligerait , au bout d' un certain temps , au demeurant fort variable , à faire machine arrière et à rectifier leurs calculs , ce qui serait à la fois facteur d' insécurité pour les entreprises et générateur de contentieux ;"
qu' or , une telle solution serait évidemment source de complications , puisque , d' une part , on voit mal comment elles en seraient averties et puisque , d' autre part , une éventuelle absence de reconnaissance de caractère professionnel les obligerait , au bout d' un certain temps , au demeurant fort variable , à faire machine arrière et à rectifier leurs calculs , ce qui serait à la fois facteur d' insécurité;pour;"les entreprises et générateur de contentieux ;"
qu' il s' ensuit que le coût moyen d' incapacité permanente correspondant doit être inscrit sur le compte employeur 2010 de la société et faire partie de la période triennale de référence au titre de l' année 2010;pour;"le calcul du taux de cotisation de l' exercice 2014 , indépendamment de la date de la déclaration de l' accident du travail ;"
que , dès lors , c' est à bon droit que la caisse d' assurance retraite et de la santé au travail de Normandie a inscrit sur le compte employeur 2010 de la société [ 1 ] le coût moyen correspondant à la catégorie 4 d' incapacité permanente;pour;"l' accident mortel de M. [ C ] du 9 octobre 2009 et pris en compte dans la période triennale de référence au titre de l' année 2010 pour le calcul du taux de cotisation de l' exercice 2014 ;"
que , dès lors , c' est à bon droit que la caisse d' assurance retraite et de la santé au travail de Normandie a inscrit sur le compte employeur 2010 de la société [ 1 ] le coût moyen correspondant à la catégorie 4 d' incapacité permanente pour l' accident mortel de M. [ C ] du 9 octobre 2009 et pris en compte dans la période triennale de référence au titre de l' année 2010;pour;"le calcul du taux de cotisation de l' exercice 2014 ;"
ALORS , 1 ° ) , QUE la valeur du risque;pour;"le calcul du taux brut individuel des cotisations d' accidents du travail et de maladies professionnelles comprend , notamment , le produit du nombre total d' accidents du travail ou de maladies professionnelles ayant , pendant la période triennale de référence , soit entraîné le décès de la victime , soit donné lieu à la notification d' un taux d' incapacité permanente , par le coût moyen de la catégorie dans laquelle est rattaché chaque accident ou chaque maladie ;"
qu' en considérant que l' accident mortel dont a été victime M. [ C ] devait être pris en compte dans la valeur du risque servant de base au calcul du taux de cotisations de l' employeur;pour;"l' exercice 2014 , dans la mesure où son caractère professionnel avait été reconnu le 5 janvier 2010 , soit pendant la période triennale de référence courant du 1er janvier 2010 au 31 décembre 2013 , quand ne sont pris en compte dans la détermination de la valeur du risque que les accidents du travail ou maladies professionnelles ayant entraîné le décès de la victime durant la période triennale de référence , ce dont il résultait que devait en être exclu l' accident mortel litigieux survenu le 9 octobre 2009 , la Cour nationale a violé les articles D. 242 - 6 - 4 , alinéa 2 , et D. 242 - 6 - 6 , alinéa 1er , 2 ° , du code de la sécurité sociale ;"
ALORS , 2 ° ) et subsidiairement , QUE , lors de l' audience des débats , la société [ 1 ] avait fait valoir que la notification de prise en charge la plus ancienne de l' accident mortel du travail dont a été victime M. [ C ] était en date du 28 décembre 2009 ,;de sorte qu';en tout état de cause , la reconnaissance du caractère professionnel dudit accident
n' était pas intervenue pendant la période triennale de référence courant du 1er janvier 2010 au 31 décembre 2013 et servant de base au calcul du taux de cotisations de l' employeur;pour;"l' exercice 2014 ;"
qu' en affirmant ,;pour;refuser de retirer de la valeur du risque l' accident mortel litigieux , que la reconnaissance de son caractère professionnel avait été notifiée par décision de la caisse primaire d' assurance maladie le 5 janvier 2010 , sans répondre à ce moyen déterminant , la cour d' appel a violé l' article 455 du code de procédure civile .
Elle a saisi la juridiction prud'homale;pour;contester la rupture de son contrat de travail et obtenir paiement de diverses sommes .    Moyens .
La société fait grief à l' arrêt de dire que le licenciement est dépourvu de cause réelle et sérieuse et de la condamner à payer à la salariée des sommes à titre de dommages - intérêts;pour;"licenciement dépourvu de cause réelle et sérieuse , à titre d' indemnité compensatrice de préavis ainsi qu' au titre des congés payés afférents , alors : « 1 ° / que constitue un licenciement pour motif économique le licenciement d' un salarié résultant d' une suppression de son emploi consécutive à une réorganisation de l' entreprise nécessaire à la sauvegarde de sa compétitivité , sans qu' il soit nécessaire de démontrer l' existence de difficultés économiques de l' employeur ;"
La société fait grief à l' arrêt de dire que le licenciement est dépourvu de cause réelle et sérieuse et de la condamner à payer à la salariée des sommes à titre de dommages - intérêts pour licenciement dépourvu de cause réelle et sérieuse , à titre d' indemnité compensatrice de préavis ainsi qu' au titre des congés payés afférents , alors : « 1 ° / que constitue un licenciement;pour;"motif économique le licenciement d' un salarié résultant d' une suppression de son emploi consécutive à une réorganisation de l' entreprise nécessaire à la sauvegarde de sa compétitivité , sans qu' il soit nécessaire de démontrer l' existence de difficultés économiques de l' employeur ;"
qu' en l' espèce , la cour d' appel a constaté que la société Eyrolles invoquait comme motif de licenciement économique la nécessité de procéder à '' une restructuration , par la suppression d' un poste de notaire salarié '';pour;"'' sauvegarder la compétitivité de l' entreprise '' ;"
qu' en se bornant à relever ,;pour;dire que le licenciement de Mme [ X ] ne reposait pas sur un motif économique réel et sérieux , qu ' ' ' en s' abstenant de produire aux débats ses bilans et ses pièces comptables , conformément à la demande qui lui en a été faite par la salariée , l' employeur ne permet pas à la cour de contrôler la réalité et l' étendue des difficultés économiques de l' entreprise '' , de sorte que le motif économique du licenciement n' était pas établi , sans rechercher si la baisse d' activité de l' office notariale invoquée par la société Eyrolles
qu' en se bornant à relever , pour dire que le licenciement de Mme [ X ] ne reposait pas sur un motif économique réel et sérieux , qu ' ' ' en s' abstenant de produire aux débats ses bilans et ses pièces comptables , conformément à la demande qui lui en a été faite par la salariée , l' employeur ne permet pas à la cour de contrôler la réalité et l' étendue des difficultés économiques de l' entreprise '' ,;de sorte que;le motif économique du licenciement n' était pas établi , sans rechercher si la baisse d' activité de l' office notariale invoquée par la société Eyrolles
qu' en se bornant à relever , pour dire que le licenciement de Mme [ X ] ne reposait pas sur un motif économique réel et sérieux , qu ' ' ' en s' abstenant de produire aux débats ses bilans et ses pièces comptables , conformément à la demande qui lui en a été faite par la salariée , l' employeur ne permet pas à la cour de contrôler la réalité et l' étendue des difficultés économiques de l' entreprise '' , de sorte que le motif économique du licenciement n' était pas établi , sans rechercher;si;la baisse d' activité de l' office notariale invoquée par la société Eyrolles
/ que constitue un licenciement;pour;"motif économique le licenciement d' un salarié résultant d' une suppression de son emploi consécutive à une réorganisation de l' entreprise nécessaire à la sauvegarde de sa compétitivité ;"
qu' en énonçant ,;pour;retenir le caractère sans cause réelle et sérieuse du licenciement , que la réalité et l' étendue des difficultés économiques de l' entreprise ne pouvaient se déduire de la seule production d' un tableau de bord établi par l' employeur et non visé par l' expert - comptable sans rechercher , ainsi qu' il le lui était demandé , si le tableau de bord avait un caractère officiel , la cour d' appel a privé sa décision de base légale au regard de l' article L. 1233 - 3 du code du travail , dans sa rédaction applicable au litige issue de la loi n° 2008
qu' en énonçant , pour retenir le caractère sans cause réelle et sérieuse du licenciement , que la réalité et l' étendue des difficultés économiques de l' entreprise ne pouvaient se déduire de la seule production d' un tableau de bord établi par l' employeur et non visé par l' expert - comptable sans rechercher , ainsi qu' il le lui était demandé ,;si;le tableau de bord avait un caractère officiel , la cour d' appel a privé sa décision de base légale au regard de l' article L. 1233 - 3 du code du travail , dans sa rédaction applicable au litige issue de la loi n° 2008
/ que;si;chaque partie est tenue d' apporter son concours aux mesures d' instruction , sauf au juge à tirer toute conséquence d' une abstention ou d' un refus
qu' en l' espèce ,;pour;"juger que le licenciement de Mme [ X ] était sans cause réelle et sérieuse , la cour d' appel a reproché à la société Eyrolles de s' être abstenue de '' produire aux débats ses bilans et ses pièces comptables , conformément à la demande qui lui en a été faite par la salariée '' ;"
qu' en statuant ainsi , tandis que Mme [ X ] n' avait pas sollicité que le juge enjoigne la société Eyrolles à produire ses bilans et pièces comptables mais s' était bornée à invoquer l' envoi d' une lettre officielle par son conseil à la société Eyrolles , qui avait répondu être dans l' impossibilité de produire les documents demandés en raison de leur confidentialité , et que les juges n' avaient , à aucun moment , enjoint la société Eyrolles à produire aux débats ses '' bilans et pièces comptables '' ,;de sorte qu';ils ne pouvaient pas tirer une quelconque conséquence d' un prétendu '' refus '' de la société Eyrolles de communiquer lesdits documents , la cour d' appel a violé l' article 11 du code de procédure civile et l' article L. 1233 - 3 du code du travail , dans sa rédaction applicable au litige issue de la loi n° 2008
Il résulte de l' article L. 1233 - 3 du code du travail , dans sa rédaction antérieure à la loi n° 2016 - 1088 du 8 août 2016 , que ,;pour;avoir une cause économique , le licenciement doit être consécutif soit à des difficultés économiques , soit à des mutations technologiques , soit à une réorganisation de l' entreprise , soit à une cessation d' activité .
La réorganisation ,;si;Page 3 / 6 elle n' est pas justifiée par des difficultés économiques ou par des mutations technologiques , doit être indispensable à la sauvegarde de la compétitivité de l' entreprise ou du secteur d' activité du groupe auquel elle appartient .
D' abord , la cour d' appel , qui a constaté que le document remis à la salariée préalablement à son acceptation du contrat de sécurisation professionnelle , invoquait des difficultés économiques , n' avait pas à rechercher;si;la suppression de l' emploi de la salariée n' était pas justifiée par une réorganisation de l' entreprise nécessaire à la sauvegarde de sa compétitivité .
La société fait grief à l' arrêt de la condamner à payer à la salariée une somme au titre de la violation de la priorité de réembauche , alors « qu' il incombe à l' employeur d' informer le salarié licencié;pour;"motif économique qui a manifesté le désir d' user de la priorité de réembauche de tous les postes disponibles et compatibles avec sa qualification ;"
qu' en énonçant que la priorité de réembauchage s' appliquait y compris aux emplois correspondant à une qualification inférieure à celle qu' avait le salarié au moment de la rupture;si;ces emplois sont compatibles avec la qualification de l' intéressée , avant de juger que la société Eyrolles avait l' obligation de proposer à Mme [ X ] les postes de clercs , sans rechercher , ainsi qu' il lui était demandé , si le poste de clerc de notaire , de qualification inférieure à celui de notaire salarié , était compatible avec la qualification de Mme [ X ] en raison des tâches qui étaient dévolues aux clercs de notaire , la cour d' appel a privé sa décision de base légale au regard de l' article L. 1233 - 45 du code du travail .
qu' en énonçant que la priorité de réembauchage s' appliquait y compris aux emplois correspondant à une qualification inférieure à celle qu' avait le salarié au moment de la rupture si ces emplois sont compatibles avec la qualification de l' intéressée , avant de juger que la société Eyrolles avait l' obligation de proposer à Mme [ X ] les postes de clercs , sans rechercher , ainsi qu' il lui était demandé ,;si;le poste de clerc de notaire , de qualification inférieure à celui de notaire salarié , était compatible avec la qualification de Mme [ X ] en raison des tâches qui étaient dévolues aux clercs de notaire , la cour d' appel a privé sa décision de base légale au regard de l' article L. 1233 - 45 du code du travail .
Aux termes de l' article L. 1233 - 45 du code du travail , le salarié licencié;pour;motif économique bénéficie d' une priorité de réembauche durant un délai d' un an à compter de la date de rupture de son contrat s' il en fait la demande au cours de ce même délai .
Moyens produits par la SAS Boulloche , Colin , Stoclet et associés , avocat aux Conseils ,;pour;la société Jean Jacques Eyrolles - Catherine André Eyrolles PREMIER MOYEN DE CASSATION ( sur le licenciement )
La société Eyrolles FAIT GRIEF à l' arrêt attaqué d' avoir , par substitution de motifs , dit le licenciement dépourvu de cause réelle et sérieuse , d' avoir condamné la société JJ Eyrolles C. André - Eyrolles à payer à Mme [ E ] [ X ] [ S ] la somme de 50 600 euros à titre de dommages et intérêts;pour;"licenciement dépourvu de cause réelle et sérieuse et de l' avoir condamnée à lui payer la somme de 21 667,98 euros à titre d' indemnité compensatrice de préavis ainsi que la somme de 2 166,79 euros au titre des congés payés afférents ;"
ALORS QUE constitue un licenciement;pour;"motif économique le licenciement d' un salarié résultant d' une suppression de son emploi consécutive à une réorganisation de l' entreprise nécessaire à la sauvegarde de sa compétitivité , sans qu' il soit nécessaire de démontrer l' existence de difficultés économiques de l' employeur ;"
qu' en l' espèce , la cour d' appel a constaté que la société Eyrolles invoquait comme motif de licenciement économique la nécessité de procéder à « une restructuration , par la suppression d' un poste de notaire salarié »;pour;"« sauvegarder la compétitivité de l' entreprise » ( arrêt , p. 6 ) ;"
qu' en se bornant à relever ,;pour;dire que le licenciement de Mme [ X ] ne reposait pas sur un motif économique réel et sérieux , qu ' « en s' abstenant de produire aux débats ses bilans et ses pièces comptables , conformément à la demande qui lui en a été faite par la salariée , l' employeur ne permet pas à la cour de contrôler la réalité et l' étendue des difficultés économiques de l' entreprise » , de sorte que le motif économique du licenciement n' était pas établi , sans rechercher si la baisse d' activité de l' office notariale invoquée par la société Eyrolles – indépendamment de l' existence de « difficultés économiques »
qu' en se bornant à relever , pour dire que le licenciement de Mme [ X ] ne reposait pas sur un motif économique réel et sérieux , qu ' « en s' abstenant de produire aux débats ses bilans et ses pièces comptables , conformément à la demande qui lui en a été faite par la salariée , l' employeur ne permet pas à la cour de contrôler la réalité et l' étendue des difficultés économiques de l' entreprise » ,;de sorte que;le motif économique du licenciement n' était pas établi , sans rechercher si la baisse d' activité de l' office notariale invoquée par la société Eyrolles – indépendamment de l' existence de « difficultés économiques »
qu' en se bornant à relever , pour dire que le licenciement de Mme [ X ] ne reposait pas sur un motif économique réel et sérieux , qu ' « en s' abstenant de produire aux débats ses bilans et ses pièces comptables , conformément à la demande qui lui en a été faite par la salariée , l' employeur ne permet pas à la cour de contrôler la réalité et l' étendue des difficultés économiques de l' entreprise » , de sorte que le motif économique du licenciement n' était pas établi , sans rechercher;si;la baisse d' activité de l' office notariale invoquée par la société Eyrolles – indépendamment de l' existence de « difficultés économiques »
ALORS QUE constitue un licenciement;pour;"motif économique le licenciement d' un salarié résultant d' une suppression de son emploi consécutive à une réorganisation de l' entreprise nécessaire à la sauvegarde de sa compétitivité ;"
qu' en énonçant ,;pour;retenir le caractère sans cause réelle et sérieuse du licenciement , que la réalité et l' étendue des difficultés Page 5 / 6 économiques de l' entreprise ne pouvaient se déduire de la seule production d' un tableau de bord établi par l' employeur et non visé par l' expert - comptable ( arrêt , p. 6 ) sans rechercher , ainsi qu' il le lui était demandé , si le tableau de bord avait un caractère officiel , la cour d' appel a privé sa décision de base légale au regard de l' article L. 1233 - 3 du code du travail , dans sa rédaction applicable au litige issue de la loi n° 2008
qu' en énonçant , pour retenir le caractère sans cause réelle et sérieuse du licenciement , que la réalité et l' étendue des difficultés Page 5 / 6 économiques de l' entreprise ne pouvaient se déduire de la seule production d' un tableau de bord établi par l' employeur et non visé par l' expert - comptable ( arrêt , p. 6 ) sans rechercher , ainsi qu' il le lui était demandé ,;si;le tableau de bord avait un caractère officiel , la cour d' appel a privé sa décision de base légale au regard de l' article L. 1233 - 3 du code du travail , dans sa rédaction applicable au litige issue de la loi n° 2008
ALORS QUE;si;"chaque partie est tenue d' apporter son concours aux mesures d' instruction , sauf au juge à tirer toute conséquence d' une abstention ou d' un refus , ce n' est que lorsque le juge a , à la requête d' une des parties , enjoint l' autre partie à produire un élément de preuve qu' il peut tirer toutes les conséquences d' une abstention ou d' un refus de production ;"
qu' en l' espèce ,;pour;"juger que le licenciement de Mme [ X ] était sans cause réelle et sérieuse , la cour d' appel a reproché à la société Eyrolles de s' être abstenue de « produire aux débats ses bilans et ses pièces comptables , conformément à la demande qui lui en a été faite par la salariée » ( arrêt , p. 6 ) ;"
qu' en statuant ainsi , tandis que Mme [ X ] n' avait pas sollicité que le juge enjoigne la société Eyrolles à produire ses bilans et pièces comptables mais s' était bornée à invoquer l' envoi d' une lettre officielle par son conseil à la société Eyrolles , qui avait répondu être dans l' impossibilité de produire les documents demandés en raison de leur confidentialité ( conclusions de Mme [ X ] , p. 6 ) , et que les juges n' avaient , à aucun moment , enjoint la société Eyrolles à produire aux débats ses « bilans et pièces comptables » ,;de sorte qu';ils ne pouvaient pas tirer une quelconque conséquence d' un prétendu « refus » de la société Eyrolles de communiquer lesdits documents , la cour d' appel a violé l' article 11 du code de procédure civile et l' article L. 1233 - 3 du code du travail , dans sa rédaction applicable au litige issue de la loi n° 2008
ALORS QU ' il incombe à l' employeur d' informer le salarié licencié;pour;"motif économique qui a manifesté le désir d' user de la priorité de réembauche de tous les postes disponibles et compatibles avec sa qualification ;"
